word,ipa_patterns,ipa_count,status
sample,,0,error_404
abortion,,0,error_404
absorption,,0,error_404
absorption,,0,error_404
acceleration,,0,error_404
accomplishment,,0,error_404
accomplishment,,0,error_404
accomplishment,,0,error_404
accord,,0,error_404
accord,,0,error_404
accordance,,0,error_404
accountability,,0,error_404
accrual,,0,error_404
accumulation,,0,error_404
acre,,0,error_404
activist,,0,error_404
adaptation,,0,error_404
adaptation,,0,error_404
administrator,,0,error_404
adolescent,,0,error_404
advertiser,,0,error_404
advisory,,0,error_404
aerosol,,0,error_404
affiliate,,0,error_404
aggregate,,0,error_404
airfare,,0,error_404
alert,,0,error_404
algebra,,0,error_404
algorithm,,0,error_404
alien,,0,error_404
